id;dominio;dns;status
934;portalpamse.gov.br;;0
935;portalsiscomex.gov.br;;0
936;portaltransparencia.gov.br;;0
937;portodesantos.gov.br;portodesantos-gov-br.mail.protection.outlook.com;1
938;portodevitoria.gov.br;portodevitoria.gov.br;1
939;portosempapel.gov.br;;0
940;portosrio.gov.br;portosrio-gov-br.mail.protection.outlook.com;1
941;postal.gov.br;;0
942;povosindigenas.gov.br;mte-mx03.mlicloud.com,mte-mx04.mlicloud.com,dc02-economia-mx01.mlicloud.com,dc02-economia-mx02.mlicloud.com;1
943;ppi.gov.br;;0
944;ppsa.gov.br;ppsa-gov-br.mail.protection.outlook.com;1
945;pr.gov.br;smtp01.pr.gov.br,smtp02.pr.gov.br,smtp03.pr.gov.br,smtp04.pr.gov.br,smtp05.pr.gov.br;1
946;pracasdopac.gov.br;;0
947;prap.gov.br;;0
948;premio-e.gov.br;;0
949;premioconservacaoenergia.gov.br;mx1.hc5664-24.iphmx.com,mx2.hc5664-24.iphmx.com;1
950;preps.gov.br;;0
951;presalpetroleo.gov.br;presalpetroleo-gov-br.mail.protection.outlook.com;1
952;presidencia.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
953;previc.gov.br;previc-gov-br.mail.protection.outlook.com;1
954;previdencia.gov.br;mte-mx03.mlicloud.com,mte-mx04.mlicloud.com,dc02-economia-mx01.mlicloud.com,dc02-economia-mx02.mlicloud.com;1
955;previdenciasocial.gov.br;;0
956;prf.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
957;procel.gov.br;;0
958;processoeletronico.gov.br;;0
959;processoeletroniconacional.gov.br;;0
960;prodeb.gov.br;prodeb-gov-br.mail.protection.outlook.com;1
961;prodemge.gov.br;mx3.antispammg.mg.gov.br,mx2.antispammg.mg.gov.br,mx1.antispammg.mg.gov.br;1
962;prodepa.gov.br;colab-antispam-01.pa.gov.br,colab-antispam-02.pa.gov.br,colab-antispam-03.pa.gov.br;1
963;programaarpa.gov.br;;0
964;proinfa.gov.br;;0
965;proinfo.gov.br;;0
966;projetobrasilmunicipios.gov.br;;0
967;projetocrescer.gov.br;;0
968;projud.gov.br;;0
969;promocaocomercial.gov.br;;0
970;protegeer.gov.br;;0
971;protocolo.gov.br;;0
972;protocolointegrado.gov.br;;0
973;prove.gov.br;prove.gov.br;1
974;prr4.gov.br;;0
975;prsc.gov.br;;0
976;prt16.gov.br;;0
977;prt21.gov.br;;0
978;prt3.gov.br;;0
979;prt4.gov.br;;0
980;prt6.gov.br;;0
981;prt8.gov.br;;0
982;publicgovernance.gov.br;;0
983;purn.gov.br;;0
984;quina.gov.br;;0
985;quiosque.gov.br;;0
986;quiosqueredegoverno.gov.br;;0
987;radiobras.gov.br;;0
988;radiocamara.gov.br;;0
989;radiojustica.gov.br;;0
990;rais.gov.br;;0
991;rap.gov.br;;0
992;rapidinha.gov.br;;0
993;raspadinhadacaixa.gov.br;;0
994;raspadinhafederal.gov.br;;0
995;rb.gov.br;protection.serpro.gov.br;1
996;rbmlq.gov.br;ksmg.inmetro.rs.gov.br;1
997;recadastramento.gov.br;;0
998;receita.gov.br;;0
999;receitafederal.gov.br;;0
1000;rede.gov.br;;0
1001;redebrasildigital.gov.br;;0
1002;redecidadao.gov.br;;0
1003;redecontrole.gov.br;redecontrole-gov-br.mail.protection.outlook.com;1
1004;rededecontrole.gov.br;rededecontrole-gov-br.mail.protection.outlook.com;1
1005;rededoesporte.gov.br;email.esporte.gov.br,email3.esporte.gov.br;1
1006;rededojudiciario.gov.br;;0
1007;rededopoderjudiciario.gov.br;;0
1008;redefloresta.gov.br;;0
1009;redegoverno.gov.br;protection.serpro.gov.br;1
1010;redejudiciario.gov.br;;0
1011;redesim.gov.br;;0
1012;redesimples.gov.br;;0
1013;redesocial.gov.br;;0
1014;reformapostal.gov.br;;0
1015;regulacao.gov.br;;0
1016;relacoesexteriores.gov.br;;0
1017;reluz.gov.br;;0
1018;reuse.gov.br;;0
1019;rexp.gov.br;;0
1020;rfb.gov.br;rfb-gov-br.mail.protection.outlook.com;1
1021;rffsa.gov.br;;0
1022;rio.gov.br;mx1.rio.gov.br;1
1023;rio20.gov.br;;0
1024;riocmsi.gov.br;mailscan-in.serpro.gov.br;1
1025;rj.gov.br;mx2.webmail.rj.gov.br;1
1026;rn.gov.br;;0
1027;rni.gov.br;;0
1028;ro.gov.br;;0
1029;rpp.gov.br;;0
1030;rr.gov.br;mail.rr.gov.br;1
1031;rrc.gov.br;;0
1032;rs.gov.br;mxsec.direto.procergs.rs.gov.br,mxsec2.direto.procergs.rs.gov.br,mxsec3.direto.procergs.rs.gov.br,mxsec4.direto.procergs.rs.gov.br;1
1033;ruralminas.gov.br;;0
1034;saude.gov.br;cluster1.us.messagelabs.com,cluster1a.us.messagelabs.com;1
1035;sc.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,aspmx2.googlemail.com,aspmx3.googlemail.com;1
1036;scdp.gov.br;;0
1037;scnet.gov.br;;0
1038;sdh.gov.br;;0
1039;se.gov.br;mxs3.se.gov.br,mxs4.se.gov.br,mxs5.se.gov.br;1
1040;seade.gov.br;seade-gov-br.mail.protection.outlook.com;1
1041;secgeral.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
1042;secom.gov.br;;0
1043;secretaria-geral.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
1044;secretariadegoverno.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
1045;secretariageral.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
1046;sedh.gov.br;amobika.sdh.gov.br;1
1047;segov.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
1048;seguranca.gov.br;piaget00.mj.gov.br;1
1049;sei.gov.br;;0
1050;seiatos.gov.br;;0
1051;selic.gov.br;;0
1052;seliganacaixa.gov.br;;0
1053;semanaenef.gov.br;;0
1054;sembarreiras.gov.br;relay.mdic.gov.br,smtp2.mdic.gov.br;1
1055;seminariobrasildigital.gov.br;;0
1056;sena.gov.br;;0
1057;senad.gov.br;senad-gov-br.mail.protection.outlook.com;1
1058;senado.gov.br;senado-gov-br.mail.protection.outlook.com;1
1059;senador.gov.br;senador-gov-br.mail.protection.outlook.com;1
1060;senadora.gov.br;senadora-gov-br.mail.protection.outlook.com;1
1061;senasp.gov.br;;0
1062;seppir.gov.br;;0
1063;serpro.gov.br;protection.serpro.gov.br;1
1064;serprolabs.gov.br;;0
1065;servicos.gov.br;protection.serpro.gov.br;1
1066;servidor.gov.br;;0
1067;servir.gov.br;;0
1068;seti.gov.br;smtp.seti.gov.br;1
1069;sg.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
1070;sgb.gov.br;aspmx.l.google.com,alt1.aspmx.l.google.com,alt2.aspmx.l.google.com,alt3.aspmx.l.google.com,alt4.aspmx.l.google.com;1
1071;sgi.gov.br;;0
1072;sgov.gov.br;esa01.presidencia.gov.br,esa02.presidencia.gov.br;1
1073;shoppingcaixa.gov.br;;0
1074;siapenet.gov.br;;0
1075;sibbr.gov.br;tyrion.lncc.br;1
1076;sic.gov.br;;0
1077;siga.gov.br;;0
1078;sigabrasil.gov.br;;0
1079;sigepe.gov.br;;0
1080;sigplan.gov.br;sigplan.planejamento.gov.br;1
1081;simecpr.gov.br;;0
1082;simples.gov.br;;0
1083;sinesp.gov.br;protection.serpro.gov.br;1
1084;sinir.gov.br;;0
1085;sintegra.gov.br;mx.via-rs.com.br,mxbkp.via-rs.com.br;1
1086;siop.gov.br;;0
1087;siorg.gov.br;;0
1088;sipam.gov.br;sipam-gov-br.mail.protection.outlook.com;1
1089;sipia.gov.br;;0
1090;sirc.gov.br;mx.sirc.gov.br;1
1091;sisbacen.gov.br;;0
1092;sisbin.gov.br;;0
1093;siscomex.gov.br;protection.serpro.gov.br;1
1094;sisgen.gov.br;;0
1095;sisp.gov.br;mx.zoho.com,mx2.zoho.com,mx3.zoho.com;1
1096;sispac.gov.br;;0
1097;sistema.gov.br;;0
1098;sitedoconsumidor.gov.br;;0
1099;sivnet.gov.br;;0
1100;sjrs.gov.br;;0
1101;smpe.gov.br;;0
1102;snirh.gov.br;mail.snirh.gov.br;1
1103;snis.gov.br;;0
1104;snisb.gov.br;sucuri.snisb.gov.br,bonito.snisb.gov.br;1
1105;snj.gov.br;;0
1106;softwarelivre.gov.br;;0
